student_id,event_type,registration_days_before,previous_events_registered,previous_events_attended,club_member,event_day,event_time,travel_distance_km,attended
S1106,Workshop,2,4,4,0.0,Sunday,16.0,7.9,1
S1054,Social,10,6,5,1.0,Thursday,11.0,14.9,0
S1390,Competition,7,5,4,0.0,Saturday,11.0,5.5,0
S1002,Social,5,4,3,0.0,Sunday,16.0,4.6,0
S1449,Hackathon,8,4,2,0.0,Saturday,14.0,0.9,0
S1491,Hackathon,11,1,0,1.0,Friday,16.0,8.8,1
S1050,Workshop,13,3,0,1.0,Monday,18.0,13.6,1
S1420,Competition,0,2,1,0.0,Saturday,16.0,4.2,0
S1081,Social,5,3,2,1.0,Monday,11.0,9.2,0
S1206,Workshop,4,5,4,1.0,Saturday,14.0,1.3,1
S1035,Workshop,3,8,4,1.0,Wednesday,14.0,4.6,0
S1431,Workshop,7,5,5,0.0,Saturday,18.0,6.4,1
S1264,Talk,11,2,2,1.0,Thursday,16.0,1.7,0
S1428,Social,4,5,3,0.0,Saturday,9.0,4.1,0
S1367,Social,0,4,3,1.0,Friday,14.0,8.5,1
S1092,Competition,10,3,2,1.0,Wednesday,11.0,5.5,1
S1340,Workshop,1,2,2,0.0,Saturday,11.0,4.9,1
S1482,Competition,5,3,2,1.0,Saturday,16.0,7.2,0
S1053,Social,2,5,4,0.0,Saturday,18.0,6.2,1
S1346,Talk,7,1,1,1.0,Monday,18.0,5.2,0
S1265,Social,4,4,2,1.0,Monday,14.0,12.3,0
S1242,Social,4,4,3,0.0,Tuesday,16.0,7.0,0
S1014,Workshop,13,7,5,0.0,Friday,9.0,5.4,0
S1316,Competition,0,4,2,1.0,Sunday,9.0,9.5,1
S1089,Social,11,3,2,1.0,Saturday,14.0,7.4,0
S1388,Workshop,6,3,1,1.0,Monday,18.0,6.4,1
S1274,Social,11,5,4,1.0,Sunday,18.0,11.4,1
S1167,Hackathon,0,5,3,1.0,Thursday,11.0,5.5,1
S1329,Workshop,5,5,4,1.0,Wednesday,14.0,7.9,1
S1152,Workshop,14,3,3,0.0,Tuesday,16.0,2.2,1
S1135,Social,11,5,4,1.0,Sunday,18.0,0.8,1
S1307,Talk,7,6,5,0.0,Sunday,18.0,6.2,1
S1489,Social,10,3,1,1.0,Thursday,18.0,9.6,1
S1320,Workshop,7,5,3,0.0,Thursday,18.0,4.2,0
S1244,Hackathon,6,3,3,1.0,Saturday,9.0,8.8,1
S1055,Talk,14,3,2,1.0,Monday,16.0,4.1,1
S1364,Talk,13,5,5,0.0,Saturday,14.0,16.4,1
S1051,Social,4,1,1,1.0,Friday,16.0,2.0,1
S1498,Workshop,9,3,2,1.0,Tuesday,9.0,4.3,1
S1175,Talk,13,6,5,0.0,Tuesday,18.0,6.2,1
S1446,Social,10,3,3,1.0,Sunday,18.0,14.9,1
S1190,Workshop,14,9,8,1.0,Thursday,18.0,1.9,1
S1464,Talk,0,3,3,1.0,Friday,14.0,2.2,0
S1188,Talk,7,1,1,1.0,Friday,16.0,12.7,1
S1170,Talk,11,7,4,1.0,Wednesday,16.0,7.3,0
S1059,Workshop,6,3,2,1.0,Saturday,18.0,1.0,1
S1049,Talk,2,4,3,0.0,Sunday,14.0,10.6,0
S1345,Hackathon,11,6,5,0.0,Thursday,14.0,10.6,0
S1236,Competition,7,2,1,1.0,Sunday,16.0,17.0,0
S1253,Competition,13,8,7,1.0,Sunday,14.0,8.6,1
S1022,Workshop,9,5,3,0.0,Tuesday,16.0,7.5,0
S1314,Social,14,9,8,1.0,Friday,18.0,4.8,1
S1460,Hackathon,13,4,4,1.0,Saturday,11.0,12.7,0
S1161,Hackathon,12,2,1,0.0,Sunday,14.0,5.7,1
S1277,Competition,2,4,3,1.0,Sunday,9.0,3.7,1
S1444,Hackathon,8,3,2,1.0,Friday,16.0,6.0,1
S1192,Social,5,1,0,1.0,Saturday,18.0,6.1,1
S1386,Competition,11,6,5,1.0,Saturday,9.0,9.0,0
S1294,Hackathon,8,7,6,1.0,Monday,11.0,2.7,0
S1414,Talk,14,5,1,1.0,Friday,9.0,3.4,1
S1344,Hackathon,1,7,5,1.0,Wednesday,9.0,5.1,1
S1258,Competition,9,4,4,1.0,Tuesday,14.0,1.6,1
S1309,Competition,2,4,3,0.0,Monday,16.0,9.0,0
S1150,Workshop,0,3,2,0.0,Saturday,14.0,0.5,1
S1131,Hackathon,6,4,4,1.0,Monday,14.0,13.0,0
S1360,Talk,0,2,1,1.0,Friday,14.0,9.9,1
S1100,Workshop,1,6,4,1.0,Saturday,16.0,18.8,1
S1373,Workshop,8,6,5,0.0,Tuesday,11.0,16.2,1
S1088,Talk,10,4,2,1.0,Tuesday,9.0,0.9,1
S1459,Workshop,9,3,2,1.0,Thursday,14.0,3.9,1
S1331,Hackathon,10,4,3,1.0,Monday,18.0,10.4,1
S1215,Competition,11,4,3,1.0,Wednesday,9.0,1.8,1
S1467,Hackathon,3,9,5,0.0,Monday,18.0,8.8,0
S1122,Social,10,5,2,1.0,Saturday,18.0,6.3,1
S1021,Talk,12,5,3,0.0,Tuesday,9.0,9.5,1
S1189,Talk,14,1,1,1.0,Monday,16.0,18.0,1
S1072,Workshop,1,1,0,1.0,Monday,14.0,4.7,0
S1107,Hackathon,10,2,2,1.0,Sunday,18.0,11.8,1
S1271,Competition,9,8,6,0.0,Tuesday,9.0,3.8,1
S1349,Hackathon,5,2,1,0.0,Thursday,11.0,4.1,1
S1436,Competition,3,4,4,1.0,Monday,11.0,5.5,1
S1103,Hackathon,9,4,4,1.0,Monday,14.0,1.4,1
